Header Length: 32
$$$Note: Please do not modify this file if you want to import it by Dactron software.$$$
Generated from Dactron Dual DSP Shaker Control software.
Version 9.0000
Signal external name: Trans0(f)
Signal internal name: Trans0(f)
Data was generated at time: 15:29:57, October 22, 2025
Data was saved as file at time: 15:29:57, October 22, 2025
Signal Type: Special Signal
Signal Operator: 4
Data Type: Real Frequency
Signal format: ASCII Tab Delimited 'X-Y Pair'
Sampling Frequency: 1 Hz
Block size: 512
Window type: None
Z axis size: 1
X axis start value: 5.0000004768372
X axis increment (Delta): 1.0104224681854
X axis increases by Log step
Z axis start value: 0
Z axis increment (Delta): 1
Z axis increases by Linear step
Excitation Channel: Force
Response Channel: Acceleration
Octave band: -1
Octave Low Frequency: 0 Hz
Octave High Frequency: 0 Hz
Octave Weighting: 
Is RPM Signal: 0
Data Layout Type:Sheet
Data Unit:2
Data Unit Resolution:1.000000e-001
	Z axis index:0	
1.771477e+001	3.504863e-002	
1.789940e+001	3.476670e-002	
1.808595e+001	3.469022e-002	
1.827445e+001	3.477735e-002	
1.846492e+001	3.486737e-002	
1.865737e+001	3.490233e-002	
1.885182e+001	3.478405e-002	
1.904831e+001	3.446461e-002	
1.924684e+001	3.407566e-002	
1.944744e+001	3.363331e-002	
1.965013e+001	3.318657e-002	
1.985493e+001	3.275152e-002	
2.006187e+001	3.231896e-002	
2.027096e+001	3.190032e-002	
2.048223e+001	3.148172e-002	
2.069571e+001	3.104417e-002	
2.091141e+001	3.061312e-002	
2.112936e+001	3.017603e-002	
2.134958e+001	2.973545e-002	
2.157209e+001	2.932561e-002	
2.179693e+001	2.893938e-002	
2.202411e+001	2.856679e-002	
2.225365e+001	2.820364e-002	
2.248559e+001	2.785716e-002	
2.271995e+001	2.750344e-002	
2.295674e+001	2.718012e-002	
2.319601e+001	2.685717e-002	
2.343777e+001	2.655492e-002	
2.368205e+001	2.627783e-002	
2.392887e+001	2.602832e-002	
2.417827e+001	2.580181e-002	
2.443027e+001	2.557964e-002	
2.468489e+001	2.535991e-002	
2.494217e+001	2.514503e-002	
2.520213e+001	2.492789e-002	
2.546480e+001	2.472393e-002	
2.573020e+001	2.451110e-002	
2.599838e+001	2.430155e-002	
2.626934e+001	2.409572e-002	
2.654313e+001	2.388586e-002	
2.681978e+001	2.366490e-002	
2.709931e+001	2.340456e-002	
2.738175e+001	2.312994e-002	
2.766714e+001	2.285155e-002	
2.795549e+001	2.256558e-002	
2.824686e+001	2.224594e-002	
2.854126e+001	2.188224e-002	
2.883873e+001	2.147594e-002	
2.913930e+001	2.100789e-002	
2.944301e+001	2.051148e-002	
2.974988e+001	2.022880e-002	
3.005994e+001	2.086211e-002	
3.037324e+001	2.278528e-002	
3.068981e+001	2.533319e-002	
3.100967e+001	2.815636e-002	
3.133287e+001	3.098651e-002	
3.165943e+001	3.380689e-002	
3.198940e+001	3.630756e-002	
3.232281e+001	3.836119e-002	
3.265969e+001	3.977396e-002	
3.300009e+001	4.049557e-002	
3.334403e+001	4.058987e-002	
3.369156e+001	4.011070e-002	
3.404271e+001	3.913101e-002	
3.439752e+001	3.787432e-002	
3.475602e+001	3.667076e-002	
3.511827e+001	3.576122e-002	
3.548429e+001	3.516543e-002	
3.585412e+001	3.476691e-002	
3.622781e+001	3.440556e-002	
3.660539e+001	3.392869e-002	
3.698691e+001	3.324415e-002	
3.737240e+001	3.217004e-002	
3.776192e+001	3.083722e-002	
3.815549e+001	2.962526e-002	
3.855316e+001	2.873758e-002	
3.895498e+001	2.828497e-002	
3.936099e+001	2.818670e-002	
3.977123e+001	2.836019e-002	
4.018574e+001	2.863755e-002	
4.060458e+001	2.888474e-002	
4.102778e+001	2.904618e-002	
4.145539e+001	2.914171e-002	
4.188746e+001	2.915057e-002	
4.232403e+001	2.908598e-002	
4.276515e+001	2.903906e-002	
4.321087e+001	2.904277e-002	
4.366123e+001	2.907582e-002	
4.411629e+001	2.910815e-002	
4.457609e+001	2.912622e-002	
4.504068e+001	2.912165e-002	
4.551012e+001	2.912517e-002	
4.598444e+001	2.912605e-002	
4.646371e+001	2.914544e-002	
4.694798e+001	2.921618e-002	
4.743730e+001	2.932498e-002	
4.793171e+001	2.947257e-002	
4.843128e+001	2.964372e-002	
4.893605e+001	2.981976e-002	
4.944608e+001	3.002959e-002	
4.996143e+001	3.023219e-002	
5.048216e+001	3.045030e-002	
5.100830e+001	3.065340e-002	
5.153994e+001	3.083326e-002	
5.207711e+001	3.096748e-002	
5.261988e+001	3.107730e-002	
5.316831e+001	3.113930e-002	
5.372246e+001	3.114544e-002	
5.428238e+001	3.109331e-002	
5.484813e+001	3.093276e-002	
5.541979e+001	3.067656e-002	
5.599740e+001	3.050658e-002	
5.658103e+001	3.049968e-002	
5.717074e+001	3.059832e-002	
5.776660e+001	3.074597e-002	
5.836867e+001	3.096796e-002	
5.897702e+001	3.120041e-002	
5.959170e+001	3.145342e-002	
6.021280e+001	3.172704e-002	
6.084036e+001	3.202983e-002	
6.147447e+001	3.231282e-002	
6.211519e+001	3.263209e-002	
6.276258e+001	3.289552e-002	
6.341672e+001	3.321290e-002	
6.407768e+001	3.356920e-002	
6.474553e+001	3.384924e-002	
6.542033e+001	3.412933e-002	
6.610218e+001	3.444479e-002	
6.679112e+001	3.481198e-002	
6.748725e+001	3.518900e-002	
6.819064e+001	3.560550e-002	
6.890135e+001	3.593335e-002	
6.961947e+001	3.626211e-002	
7.034508e+001	3.673685e-002	
7.107825e+001	3.723007e-002	
7.181906e+001	3.776073e-002	
7.256759e+001	3.830761e-002	
7.332392e+001	3.888244e-002	
7.408814e+001	3.946742e-002	
7.486032e+001	4.012586e-002	
7.564055e+001	4.078846e-002	
7.642891e+001	4.151375e-002	
7.722549e+001	4.226287e-002	
7.803037e+001	4.307437e-002	
7.884364e+001	4.386908e-002	
7.966539e+001	4.462199e-002	
8.049570e+001	4.537961e-002	
8.133466e+001	4.622294e-002	
8.218237e+001	4.718535e-002	
8.303891e+001	4.824080e-002	
8.390438e+001	4.936970e-002	
8.477887e+001	5.055394e-002	
8.566248e+001	5.173331e-002	
8.655529e+001	5.291095e-002	
8.745741e+001	5.422834e-002	
8.836893e+001	5.570956e-002	
8.928995e+001	5.737399e-002	
9.022058e+001	5.917546e-002	
9.116090e+001	6.125797e-002	
9.211102e+001	6.364546e-002	
9.307104e+001	6.645039e-002	
9.404107e+001	6.984348e-002	
9.502121e+001	7.395504e-002	
9.601157e+001	7.903329e-002	
9.701225e+001	8.538149e-002	
9.802335e+001	9.252589e-002	
9.904500e+001	9.761533e-002	
1.000773e+002	1.009622e-001	
1.011203e+002	1.054981e-001	
1.021743e+002	1.096481e-001	
1.032392e+002	1.099831e-001	
1.043152e+002	1.095006e-001	
1.054024e+002	1.152141e-001	
1.065010e+002	1.262630e-001	
1.076110e+002	1.409551e-001	
1.087325e+002	1.589403e-001	
1.098658e+002	1.824320e-001	
1.110109e+002	2.153640e-001	
1.121679e+002	2.613283e-001	
1.133369e+002	3.270462e-001	
1.145182e+002	4.129667e-001	
1.157118e+002	5.737080e-001	
1.169178e+002	8.099262e-001	
1.181363e+002	2.015829e+000	
1.193676e+002	1.108229e+000	
1.206117e+002	6.267535e-001	
1.218688e+002	7.089361e-001	
1.231389e+002	4.206763e-001	
1.244224e+002	2.906300e-001	
1.257191e+002	2.712850e-001	
1.270295e+002	0.000000e+000	
1.283534e+002	0.000000e+000	
1.296912e+002	0.000000e+000	
1.310429e+002	0.000000e+000	
1.324087e+002	0.000000e+000	
1.337887e+002	0.000000e+000	
1.351831e+002	0.000000e+000	
1.365920e+002	0.000000e+000	
1.380157e+002	0.000000e+000	
1.394541e+002	0.000000e+000	
1.409076e+002	0.000000e+000	
1.423762e+002	0.000000e+000	
1.438601e+002	0.000000e+000	
1.453595e+002	0.000000e+000	
1.468745e+002	0.000000e+000	
1.484053e+002	0.000000e+000	
1.499520e+002	0.000000e+000	
1.515149e+002	0.000000e+000	
1.530941e+002	0.000000e+000	
1.546897e+002	0.000000e+000	
1.563019e+002	0.000000e+000	
1.579310e+002	0.000000e+000	
1.595770e+002	0.000000e+000	
1.612402e+002	0.000000e+000	
1.629207e+002	0.000000e+000	
1.646187e+002	0.000000e+000	
1.663345e+002	0.000000e+000	
1.680681e+002	0.000000e+000	
1.698198e+002	0.000000e+000	
1.715897e+002	0.000000e+000	
1.733781e+002	0.000000e+000	
1.751851e+002	0.000000e+000	
1.770110e+002	0.000000e+000	
1.788559e+002	0.000000e+000	
1.807200e+002	0.000000e+000	
1.826036e+002	0.000000e+000	
1.845067e+002	0.000000e+000	
1.864298e+002	0.000000e+000	
1.883728e+002	0.000000e+000	
1.903361e+002	0.000000e+000	
1.923199e+002	0.000000e+000	
1.943243e+002	0.000000e+000	
1.963497e+002	0.000000e+000	
1.983961e+002	0.000000e+000	
2.004639e+002	0.000000e+000	
2.025532e+002	0.000000e+000	
2.046643e+002	0.000000e+000	
2.067975e+002	0.000000e+000	
2.089528e+002	0.000000e+000	
2.111306e+002	0.000000e+000	
2.133311e+002	0.000000e+000	
2.155545e+002	0.000000e+000	
2.178011e+002	0.000000e+000	
2.200712e+002	0.000000e+000	
2.223649e+002	0.000000e+000	
2.246824e+002	0.000000e+000	
2.270242e+002	0.000000e+000	
2.293903e+002	0.000000e+000	
2.317812e+002	0.000000e+000	
2.341969e+002	0.000000e+000	
2.366378e+002	0.000000e+000	
2.391041e+002	0.000000e+000	
2.415962e+002	0.000000e+000	
2.441142e+002	0.000000e+000	
2.466585e+002	0.000000e+000	
2.492293e+002	0.000000e+000	
2.518269e+002	0.000000e+000	
2.544515e+002	0.000000e+000	
2.571036e+002	0.000000e+000	
2.597832e+002	0.000000e+000	
2.624908e+002	0.000000e+000	
2.652266e+002	0.000000e+000	
2.679909e+002	0.000000e+000	
2.707840e+002	0.000000e+000	
2.736063e+002	0.000000e+000	
2.764579e+002	0.000000e+000	
2.793393e+002	0.000000e+000	
2.822507e+002	0.000000e+000	
2.851924e+002	0.000000e+000	
2.881649e+002	0.000000e+000	
2.911682e+002	0.000000e+000	
2.942029e+002	0.000000e+000	
2.972693e+002	0.000000e+000	
3.003675e+002	0.000000e+000	
3.034981e+002	0.000000e+000	
3.066613e+002	0.000000e+000	
3.098575e+002	0.000000e+000	
3.130870e+002	0.000000e+000	
3.163501e+002	0.000000e+000	
3.196472e+002	0.000000e+000	
3.229788e+002	0.000000e+000	
3.263450e+002	0.000000e+000	
3.297463e+002	0.000000e+000	
3.331831e+002	0.000000e+000	
3.366557e+002	0.000000e+000	
3.401645e+002	0.000000e+000	
3.437098e+002	0.000000e+000	
3.472921e+002	0.000000e+000	
3.509118e+002	0.000000e+000	
3.545691e+002	0.000000e+000	
3.582646e+002	0.000000e+000	
3.619986e+002	0.000000e+000	
3.657715e+002	0.000000e+000	
3.695838e+002	0.000000e+000	
3.734357e+002	0.000000e+000	
3.773279e+002	0.000000e+000	
3.812606e+002	0.000000e+000	
3.852342e+002	0.000000e+000	
3.892493e+002	0.000000e+000	
3.933063e+002	0.000000e+000	
3.974055e+002	0.000000e+000	
4.015474e+002	0.000000e+000	
4.057325e+002	0.000000e+000	
4.099613e+002	0.000000e+000	
4.142341e+002	0.000000e+000	
4.185514e+002	0.000000e+000	
4.229138e+002	0.000000e+000	
4.273216e+002	0.000000e+000	
4.317753e+002	0.000000e+000	
4.362755e+002	0.000000e+000	
4.408226e+002	0.000000e+000	
4.454170e+002	0.000000e+000	
4.500594e+002	0.000000e+000	
4.547501e+002	0.000000e+000	
4.594897e+002	0.000000e+000	
4.642787e+002	0.000000e+000	
4.691177e+002	0.000000e+000	
4.740070e+002	0.000000e+000	
4.789473e+002	0.000000e+000	
4.839392e+002	0.000000e+000	
4.889830e+002	0.000000e+000	
4.940794e+002	0.000000e+000	
4.992289e+002	0.000000e+000	
5.044321e+002	0.000000e+000	
5.096896e+002	0.000000e+000	
5.150018e+002	0.000000e+000	
5.203694e+002	0.000000e+000	
5.257929e+002	0.000000e+000	
5.312730e+002	0.000000e+000	
5.368101e+002	0.000000e+000	
5.424050e+002	0.000000e+000	
5.480582e+002	0.000000e+000	
5.537703e+002	0.000000e+000	
5.595420e+002	0.000000e+000	
5.653738e+002	0.000000e+000	
5.712664e+002	0.000000e+000	
5.772204e+002	0.000000e+000	
5.832365e+002	0.000000e+000	
5.893152e+002	0.000000e+000	
5.954573e+002	0.000000e+000	
6.016635e+002	0.000000e+000	
6.079343e+002	0.000000e+000	
6.142705e+002	0.000000e+000	
6.206727e+002	0.000000e+000	
6.271416e+002	0.000000e+000	
6.336780e+002	0.000000e+000	
6.402825e+002	0.000000e+000	
6.469558e+002	0.000000e+000	
6.536987e+002	0.000000e+000	
6.605118e+002	0.000000e+000	
6.673960e+002	0.000000e+000	
6.743519e+002	0.000000e+000	
6.813803e+002	0.000000e+000	
6.884820e+002	0.000000e+000	
6.956577e+002	0.000000e+000	
7.029081e+002	0.000000e+000	
7.102342e+002	0.000000e+000	
7.176366e+002	0.000000e+000	
7.251161e+002	0.000000e+000	
7.326736e+002	0.000000e+000	
7.403099e+002	0.000000e+000	
7.480257e+002	0.000000e+000	
7.558220e+002	0.000000e+000	
7.636995e+002	0.000000e+000	
7.716592e+002	0.000000e+000	
7.797018e+002	0.000000e+000	
7.878282e+002	0.000000e+000	
7.960393e+002	0.000000e+000	
8.043360e+002	0.000000e+000	
8.127192e+002	0.000000e+000	
8.211897e+002	0.000000e+000	
8.297485e+002	0.000000e+000	
8.383966e+002	0.000000e+000	
8.471347e+002	0.000000e+000	
8.559639e+002	0.000000e+000	
8.648852e+002	0.000000e+000	
8.738994e+002	0.000000e+000	
8.830076e+002	0.000000e+000	
8.922108e+002	0.000000e+000	
9.015098e+002	0.000000e+000	
9.109057e+002	0.000000e+000	
9.203996e+002	0.000000e+000	
9.299925e+002	0.000000e+000	
9.396853e+002	0.000000e+000	
9.494791e+002	0.000000e+000	
9.593750e+002	0.000000e+000	
9.693741e+002	0.000000e+000	
9.794774e+002	0.000000e+000	
9.896859e+002	0.000000e+000	
1.000001e+003	0.000000e+000	
